Date,Price,Type,PnL
2024-03-27,1.0826,Buy,100.0
2024-03-27,1.0846,Buy,100.0
2024-03-27,1.0866,Buy,100.0
2024-03-27,1.0886,Buy,100.0
2024-03-27,1.0906,Buy,100.0
2024-03-27,1.0926,Buy,100.0
2024-03-27,1.0946,Buy,100.0
2024-03-27,1.0966,Buy,100.0
2024-03-27,1.0986,Buy,100.0
2024-03-27,1.1006,Buy,100.0
2024-03-27,1.1026,Buy,100.0
2024-03-28,1.0806,Buy,100.0
2024-04-01,1.0746,Buy,100.0
2024-04-01,1.0766,Buy,100.0
2024-04-01,1.0786,Buy,100.0
2024-04-02,1.0768,Sell,102.19999999999997
2024-04-03,1.0835,Sell,105.09999999999988
2024-04-03,1.0835,Sell,111.99999999999979
2024-04-03,1.0835,Sell,116.8999999999997
2024-04-08,1.0858,Sell,120.09999999999978
2024-04-10,1.0746,Buy,120.09999999999978
2024-04-10,1.0766,Buy,120.09999999999978
2024-04-10,1.0786,Buy,120.09999999999978
2024-04-10,1.0806,Buy,120.09999999999978
2024-04-10,1.0826,Buy,120.09999999999978
2024-04-11,1.0726,Buy,120.09999999999978
2024-04-12,1.0646,Buy,120.09999999999978
2024-04-12,1.0666,Buy,120.09999999999978
2024-04-12,1.0686,Buy,120.09999999999978
2024-04-12,1.0706,Buy,120.09999999999978
2024-04-15,1.0626,Buy,120.09999999999978
2024-04-17,1.0671,Sell,122.59999999999972
2024-04-17,1.0671,Sell,127.09999999999967
2024-04-18,1.0646,Buy,127.09999999999967
2024-04-23,1.0699,Sell,130.39999999999975
2024-04-23,1.0699,Sell,135.69999999999982
2024-04-25,1.0729,Sell,139.9999999999998
2024-04-25,1.0729,Sell,142.29999999999978
2024-04-26,1.0706,Buy,142.29999999999978
2024-04-30,1.0666,Buy,142.29999999999978
2024-04-30,1.0686,Buy,142.29999999999978
2024-05-01,1.0709,Sell,146.59999999999977
2024-05-01,1.0709,Sell,148.89999999999975
2024-05-03,1.0758,Sell,152.09999999999985
2024-05-03,1.0758,Sell,157.29999999999995
2024-05-06,1.0768,Sell,159.49999999999994
2024-05-08,1.0746,Buy,159.49999999999994
2024-05-09,1.0781,Sell,163.0
2024-05-13,1.0788,Sell,165.2
2024-05-14,1.0818,Sell,168.4000000000001
2024-05-15,1.0882,Sell,172.00000000000014
2024-05-15,1.0882,Sell,179.6000000000002
2024-05-15,1.0882,Sell,185.20000000000024
2024-05-22,1.0826,Buy,185.20000000000024
2024-05-22,1.0846,Buy,185.20000000000024
2024-05-27,1.0858,Sell,188.40000000000035
2024-05-29,1.0806,Buy,188.40000000000035
2024-05-29,1.0826,Buy,188.40000000000035
2024-05-30,1.0832,Sell,191.00000000000028
2024-06-03,1.0902,Sell,194.60000000000034
2024-06-03,1.0902,Sell,200.2000000000004
2024-06-03,1.0902,Sell,207.80000000000044
2024-06-07,1.0806,Buy,207.80000000000044
2024-06-07,1.0826,Buy,207.80000000000044
2024-06-07,1.0846,Buy,207.80000000000044
2024-06-07,1.0866,Buy,207.80000000000044
2024-06-10,1.0766,Buy,207.80000000000044
2024-06-10,1.0786,Buy,207.80000000000044
2024-06-11,1.0746,Buy,207.80000000000044
2024-06-12,1.0807,Sell,211.90000000000043
2024-06-12,1.0807,Sell,214.00000000000043
2024-06-12,1.0807,Sell,220.10000000000042
2024-06-13,1.0746,Buy,220.10000000000042
2024-06-13,1.0766,Buy,220.10000000000042
2024-06-13,1.0786,Buy,220.10000000000042
2024-06-14,1.0706,Buy,220.10000000000042
2024-06-14,1.0726,Buy,220.10000000000042
2024-06-17,1.0734,Sell,222.90000000000035
2024-06-20,1.0706,Buy,222.90000000000035
2024-06-24,1.0732,Sell,225.50000000000028
2024-06-26,1.0686,Buy,225.50000000000028
2024-06-26,1.0706,Buy,225.50000000000028
2024-06-28,1.0713,Sell,228.20000000000022
2024-07-01,1.0738,Sell,231.40000000000032
2024-07-03,1.0786,Sell,235.40000000000032
2024-07-03,1.0786,Sell,237.40000000000032
2024-07-03,1.0786,Sell,243.40000000000032
2024-07-04,1.081,Sell,245.80000000000027
2024-07-05,1.0836,Sell,248.80000000000015
2024-07-11,1.0865,Sell,252.70000000000016
2024-07-12,1.0906,Sell,254.70000000000016
2024-07-12,1.0906,Sell,260.70000000000016
2024-07-12,1.0906,Sell,264.70000000000016
2024-07-17,1.0937,Sell,267.80000000000007
2024-07-18,1.0906,Buy,267.80000000000007
2024-07-19,1.0886,Buy,267.80000000000007
2024-07-23,1.0866,Buy,267.80000000000007
2024-07-24,1.0846,Buy,267.80000000000007
2024-07-29,1.0826,Buy,267.80000000000007
2024-08-01,1.0806,Buy,267.80000000000007
2024-08-02,1.0908,Sell,270.00000000000006
2024-08-02,1.0908,Sell,274.20000000000005
2024-08-02,1.0908,Sell,280.40000000000003
2024-08-02,1.0908,Sell,288.6
2024-08-02,1.0908,Sell,298.8
2024-08-05,1.0952,Sell,301.3999999999999
2024-08-05,1.0952,Sell,305.9999999999999
2024-08-07,1.0926,Buy,305.9999999999999
2024-08-13,1.0992,Sell,310.5999999999998
2024-08-13,1.0992,Sell,313.1999999999997
2024-08-13,1.0992,Sell,319.79999999999967
2024-08-14,1.1012,Sell,322.3999999999996
2024-08-15,1.0986,Buy,322.3999999999996
2024-08-16,1.1028,Sell,324.59999999999957
2024-08-16,1.1028,Sell,328.79999999999956
2024-08-19,1.1085,Sell,334.6999999999996
2024-09-10,1.1026,Buy,334.6999999999996
2024-09-12,1.1074,Sell,339.4999999999995
2024-10-04,1.0986,Buy,339.4999999999995
2024-10-04,1.1006,Buy,339.4999999999995
2024-10-04,1.1026,Buy,339.4999999999995
2024-10-09,1.0946,Buy,339.4999999999995
2024-10-09,1.0966,Buy,339.4999999999995
2024-10-14,1.0926,Buy,339.4999999999995
2024-10-15,1.0906,Buy,339.4999999999995
2024-10-16,1.0866,Buy,339.4999999999995
2024-10-16,1.0886,Buy,339.4999999999995
2024-10-17,1.0846,Buy,339.4999999999995
2024-10-18,1.0866,Sell,341.4999999999995
2024-10-21,1.0826,Buy,341.4999999999995
2024-10-21,1.0846,Buy,341.4999999999995
2024-10-22,1.0806,Buy,341.4999999999995
2024-10-23,1.0786,Buy,341.4999999999995
2024-10-24,1.0827,Sell,343.59999999999945
2024-10-24,1.0827,Sell,347.6999999999994
2024-10-25,1.0806,Buy,347.6999999999994
2024-10-30,1.0855,Sell,350.59999999999934
2024-10-30,1.0855,Sell,355.49999999999926
2024-10-31,1.0883,Sell,359.1999999999993
2024-11-01,1.0846,Buy,359.1999999999993
2024-11-04,1.0877,Sell,362.29999999999916
2024-11-05,1.093,Sell,364.69999999999914
2024-11-05,1.093,Sell,371.0999999999991
2024-11-05,1.093,Sell,375.4999999999991
2024-11-06,1.0746,Buy,375.4999999999991
2024-11-06,1.0766,Buy,375.4999999999991
2024-11-06,1.0786,Buy,375.4999999999991
2024-11-06,1.0806,Buy,375.4999999999991
2024-11-06,1.0826,Buy,375.4999999999991
2024-11-06,1.0846,Buy,375.4999999999991
2024-11-06,1.0866,Buy,375.4999999999991
2024-11-06,1.0886,Buy,375.4999999999991
2024-11-06,1.0906,Buy,375.4999999999991
2024-11-07,1.0804,Sell,381.2999999999991
2024-11-07,1.0804,Sell,385.0999999999991
2024-11-08,1.0726,Buy,385.0999999999991
2024-11-08,1.0746,Buy,385.0999999999991
2024-11-08,1.0766,Buy,385.0999999999991
2024-11-11,1.0666,Buy,385.0999999999991
2024-11-11,1.0686,Buy,385.0999999999991
2024-11-11,1.0706,Buy,385.0999999999991
2024-11-12,1.0626,Buy,385.0999999999991
2024-11-12,1.0646,Buy,385.0999999999991
2025-03-05,1.079,Sell,391.4999999999991
2025-03-05,1.079,Sell,395.89999999999907
2025-03-05,1.079,Sell,398.29999999999905
2025-03-05,1.079,Sell,410.699999999999
2025-03-05,1.079,Sell,421.099999999999
2025-03-05,1.079,Sell,429.499999999999
2025-03-05,1.079,Sell,445.89999999999895
2025-03-05,1.079,Sell,460.29999999999893
2025-03-07,1.0832,Sell,464.89999999999884
2025-03-07,1.0832,Sell,467.49999999999875
2025-03-11,1.0918,Sell,476.69999999999885
2025-03-11,1.0918,Sell,483.89999999999895
2025-03-11,1.0918,Sell,489.09999999999906
2025-03-11,1.0918,Sell,492.29999999999916
2025-03-12,1.0886,Buy,492.29999999999916
2025-03-13,1.0866,Buy,492.29999999999916
2025-03-17,1.0921,Sell,495.7999999999992
2025-03-17,1.0921,Sell,501.2999999999993
2025-03-18,1.0943,Sell,504.9999999999993
2025-03-19,1.0906,Buy,504.9999999999993
2025-03-20,1.0866,Buy,504.9999999999993
2025-03-20,1.0886,Buy,504.9999999999993
2025-03-21,1.0826,Buy,504.9999999999993
2025-03-21,1.0846,Buy,504.9999999999993
2025-03-24,1.0806,Buy,504.9999999999993
2025-03-26,1.0746,Buy,504.9999999999993
2025-03-26,1.0766,Buy,504.9999999999993
2025-03-26,1.0786,Buy,504.9999999999993
2025-03-27,1.0798,Sell,510.1999999999994
2025-03-27,1.0798,Sell,513.3999999999995
